,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
64,Ireland,253567,0,4929,0,236401,377,12237,34,50865,989,4709664,944753,4985076,Europe,2021-05-12
65,Moldova,253173,224,5981,11,244073,196,3119,171,62886,1486,1029440,255705,4025892,Europe,2021-05-12
66,Slovenia,247449,726,4304,2,234189,401,8956,128,119013,2070,1215496,584602,2079184,Europe,2021-05-12
67,Egypt,239740,0,14033,0,178241,0,47466,90,2306,135,2715258,26112,103984787,Africa,2021-05-12
68,Guatemala,236266,0,7776,0,215803,0,12687,5,12982,427,1314516,72230,18198980,North America,2021-05-12
69,Uruguay,225847,0,3208,0,197085,0,25554,525,64823,921,1934871,555347,3484077,South America,2021-05-12
70,Honduras,222118,1130,5789,88,81973,334,134356,535,22125,577,660435,65784,10039448,North America,2021-05-12
71,Armenia,219950,354,4272,16,206078,403,9600,0,74107,1439,1023251,344761,2968005,Asia,2021-05-12
72,Qatar,212124,392,519,3,204408,862,7197,231,75548,185,1957978,697334,2807805,Asia,2021-05-12
73,Venezuela,210116,0,2320,0,193089,0,14707,316,7407,82,3359014,118415,28366567,South America,2021-05-12
74,Oman,202713,0,2148,0,186391,0,14174,255,38853,412,1550000,297082,5217409,Asia,2021-05-12
75,Bosnia and Herzegovina,201796,284,8943,31,167704,817,25149,0,61839,2741,934460,286360,3263232,Europe,2021-05-12
76,Bahrain,192750,0,697,0,177212,0,14841,142,110027,398,4273842,2439616,1751850,Asia,2021-05-12
77,Libya,180692,0,3077,0,167043,0,10572,0,25994,443,978899,140822,6951337,Africa,2021-05-12
78,Nigeria,165515,0,2065,0,156358,0,7092,11,786,10,1939165,9212,210498783,Africa,2021-05-12
79,Kenya,164386,410,2950,22,113124,67,48312,119,3001,54,1729345,31567,54782893,Africa,2021-05-12
80,North Macedonia,154372,150,5151,16,139266,487,9955,124,74100,2473,745471,357832,2083300,Europe,2021-05-12
81,Myanmar,142997,23,3211,1,132064,14,7722,0,2613,59,2595359,47427,54722988,Asia,2021-05-12
82,Sri Lanka,132527,1429,850,0,107657,1016,24020,0,6167,40,2951123,137323,21490399,Asia,2021-05-12
83,Albania,131845,42,2423,3,120072,1011,9350,18,45858,843,663580,230803,2875093,Europe,2021-05-12
84,S. Korea,128918,635,1884,5,119373,656,7661,167,2513,37,9201539,179342,51307137,Asia,2021-05-12
85,Estonia,126064,371,1210,4,117108,460,7746,37,94978,912,1341932,1011022,1327302,Europe,2021-05-12
86,Latvia,125689,729,2223,6,114981,1551,8485,81,67278,1190,2438786,1305417,1868204,Europe,2021-05-12
87,Algeria,124483,0,3343,0,86703,0,34437,28,2796,75,230861,5185,44528314,Africa,2021-05-12
88,Cuba,119375,1207,768,13,112461,1136,6146,135,10545,68,3900479,344545,11320667,North America,2021-05-12
89,Norway,117757,262,774,7,88952,0,28031,22,21577,142,5423294,993709,5457626,Europe,2021-05-12
90,Kyrgyzstan,99316,283,1675,8,92409,289,5232,85,15011,253,1037894,156869,6616312,Asia,2021-05-12
91,Montenegro,98546,97,1548,3,95368,148,1630,64,156887,2464,389412,619951,628134,Europe,2021-05-12
92,Uzbekistan,95467,395,666,2,90976,312,3825,23,2817,20,1377915,40665,33884609,Asia,2021-05-12
93,Ghana,93011,0,783,0,90697,0,1531,7,2941,25,1108763,35057,31627141,Africa,2021-05-12
94,Zambia,92152,0,1258,0,90539,0,355,42,4896,67,1448213,76940,18822708,Africa,2021-05-12
95,Finland,88990,0,927,0,46000,0,42063,26,16040,167,4679035,843355,5548122,Europe,2021-05-12
96,Thailand,88907,1983,486,34,59043,2006,29378,1207,1271,7,8124896,116152,69950556,Asia,2021-05-12
97,Cameroon,74946,0,1152,0,70497,0,3297,385,2765,42,1518411,56010,27109628,Africa,2021-05-12
98,El Salvador,70380,0,2168,4,65921,0,2291,28,10804,333,936793,143805,6514320,North America,2021-05-12
99,Mozambique,70267,0,826,0,67884,0,1557,24,2196,26,529546,16547,32001663,Africa,2021-05-12
100,Cyprus,70098,0,339,0,39061,0,30698,57,57698,279,5511355,4536453,1214904,Asia,2021-05-12
101,Luxembourg,68748,196,806,0,65513,0,2429,30,108317,1270,2748184,4329935,634694,Europe,2021-05-12
102,Afghanistan,62942,224,2721,8,54534,31,5687,1124,1586,69,426560,10751,39676986,Asia,2021-05-12
103,Singapore,61419,16,31,0,60975,0,413,3,10428,5,10441802,1772852,5889834,Asia,2021-05-12
104,Namibia,50301,0,696,0,47518,0,2087,51,19495,270,402641,156047,2580262,Africa,2021-05-12
105,Botswana,49041,0,751,0,46290,0,2000,1,20500,314,1086267,454086,2392207,Africa,2021-05-12
106,Jamaica,46922,101,820,6,22636,119,23466,14,15787,276,348636,117296,2972273,North America,2021-05-12
107,Ivory Coast,46484,0,292,0,45910,0,282,0,1726,11,608960,22608,26935594,Africa,2021-05-12
108,Mongolia,46448,512,184,5,35733,1503,10531,110,13976,55,2800505,842643,3323476,Asia,2021-05-12
109,Uganda,42427,0,346,0,41971,0,110,24,903,7,1044170,22230,46970372,Africa,2021-05-12
110,Senegal,40762,33,1121,1,39460,32,181,12,2381,65,493457,28823,17120176,Africa,2021-05-12
111,Madagascar,39510,159,738,6,36881,248,1891,301,1396,26,193431,6835,28298188,Africa,2021-05-12
112,Maldives,38520,0,87,0,26795,0,11638,90,70204,159,773298,1409358,548688,Asia,2021-05-12
113,Zimbabwe,38448,0,1579,0,36221,0,648,12,2555,105,436994,29040,15048213,Africa,2021-05-12
114,Sudan,34272,0,2446,0,27949,0,3877,0,766,55,232965,5209,44723245,Africa,2021-05-12
115,Malawi,34183,0,1153,0,32170,0,860,11,1748,59,236897,12117,19551547,Africa,2021-05-12
116,Malta,30469,5,417,0,29860,17,192,0,68848,942,889079,2008973,442554,Europe,2021-05-12
117,DRC,30429,37,775,0,26541,107,3113,0,331,8,154866,1686,91879676,Africa,2021-05-12
118,Australia,29946,8,910,0,28815,0,221,1,1163,35,17346790,673570,25753517,Australia/Oceania,2021-05-12
119,Angola,29146,0,639,0,25145,0,3362,20,864,19,527590,15639,33736498,Africa,2021-05-12
120,Cabo Verde,26709,0,236,0,23692,0,2781,23,47596,421,156769,279363,561165,Africa,2021-05-12
121,Rwanda,25773,0,340,0,24333,0,1100,0,1949,26,1350982,102145,13226156,Africa,2021-05-12
122,Gabon,23565,0,143,0,20051,0,3371,19,10378,63,754964,332501,2270563,Africa,2021-05-12
123,Syria,23490,0,1670,0,19316,0,2504,0,1315,93,103566,5798,17863450,Asia,2021-05-12
124,Guinea,22719,0,151,0,20341,0,2227,24,1691,11,444435,33077,13436461,Africa,2021-05-12
125,Réunion,22644,0,169,0,21603,0,872,36,25138,188,102720,114032,900797,Africa,2021-05-12
126,French Guiana,20877,0,106,0,9995,0,10776,25,68385,347,229935,753181,305285,South America,2021-05-12
127,Cambodia,20695,472,136,5,8539,369,12020,0,1223,8,1018022,60177,16917166,Asia,2021-05-12
128,Mayotte,20134,0,170,0,2964,0,17000,4,72312,611,174251,625827,278433,Africa,2021-05-12
129,French Polynesia,18797,0,141,0,18617,0,39,1,66584,499,26355,93357,282303,Australia/Oceania,2021-05-12
130,Mauritania,18691,0,456,0,17918,0,317,14,3932,96,244473,51426,4753876,Africa,2021-05-12
131,Eswatini,18487,0,671,0,17784,0,32,3,15795,573,194247,165957,1170466,Africa,2021-05-12
132,Guadeloupe,16017,0,221,0,2242,0,13554,33,40024,552,195404,488287,400183,North America,2021-05-12
133,Guyana,14531,0,331,0,12443,0,1757,16,18398,419,130875,165704,789813,South America,2021-05-12
134,Somalia,14486,0,753,0,6325,0,7408,0,890,46,120132,7383,16271101,Africa,2021-05-12
135,Mali,14133,0,506,0,9073,0,4554,0,681,24,279721,13482,20747749,Africa,2021-05-12
136,Trinidad and Tobago,13802,0,224,0,9500,0,4078,71,9835,160,147470,105082,1403383,North America,2021-05-12
137,Andorra,13447,0,127,0,13070,0,250,12,173799,1641,193595,2502165,77371,Europe,2021-05-12
138,Burkina Faso,13384,0,164,0,13180,0,40,0,626,8,182551,8534,21391839,Africa,2021-05-12
139,Haiti,13227,0,266,0,12304,0,657,0,1148,23,60085,5215,11521665,North America,2021-05-12
140,Togo,13167,0,125,0,11694,0,1348,0,1559,15,318622,37732,8444354,Africa,2021-05-12
141,Papua New Guinea,12997,771,130,9,10915,248,1952,0,1430,14,104674,11513,9091937,Australia/Oceania,2021-05-12
142,Belize,12704,0,323,0,12307,0,74,1,31461,800,122702,303867,403802,North America,2021-05-12
143,Curaçao,12236,0,117,0,11992,0,127,22,74306,711,101029,613524,164670,North America,2021-05-12
144,Hong Kong,11815,2,210,0,11505,2,100,3,1565,28,14841321,1965951,7549182,Asia,2021-05-12
145,Martinique,11736,0,90,0,98,0,11548,24,31295,240,170302,454121,375015,North America,2021-05-12
146,Djibouti,11369,0,151,0,11182,0,36,0,11366,151,152660,152614,1000304,Africa,2021-05-12
147,Congo,11343,0,148,0,8208,0,2987,0,2013,26,141948,25195,5633978,Africa,2021-05-12
148,Suriname,11306,0,220,0,9907,0,1179,25,19126,372,53811,91029,591142,South America,2021-05-12
149,Bahamas,10908,0,214,0,9854,0,840,5,27513,540,90693,228753,396467,North America,2021-05-12
150,Aruba,10795,0,104,0,10596,0,95,14,100741,971,154991,1446405,107156,North America,2021-05-12
151,Lesotho,10774,1,319,0,6427,0,4028,0,4995,148,85504,39643,2156825,Africa,2021-05-12
152,South Sudan,10641,0,115,0,10462,0,64,0,941,10,156542,13846,11306223,Africa,2021-05-12
153,Seychelles,8172,0,28,0,5658,0,2486,0,82654,283,21504,217498,98870,Africa,2021-05-12
154,Benin,7995,0,101,0,7652,0,242,35,645,8,595112,48016,12393984,Africa,2021-05-12
155,Equatorial Guinea,7694,0,112,0,7279,0,303,7,5335,78,123169,85404,1442193,Africa,2021-05-12
156,Nicaragua,7086,0,184,0,4225,0,2677,0,1059,27,0,0,6692112,North America,2021-05-12
157,CAR,6674,0,93,0,5112,0,1469,2,1362,19,40907,8346,4901608,Africa,2021-05-12
158,Iceland,6526,4,29,0,6422,13,75,3,19018,85,622370,1813723,343145,Europe,2021-05-12
159,Yemen,6492,0,1276,0,3003,0,2213,23,214,42,34287,1128,30387003,Asia,2021-05-12
160,Gambia,5934,0,175,0,5648,0,111,3,2398,71,76379,30866,2474524,Africa,2021-05-12
161,Niger,5324,0,192,0,4929,0,203,2,213,8,101502,4068,24951059,Africa,2021-05-12
162,San Marino,5083,0,90,0,4968,0,25,4,149535,2648,63241,1860467,33992,Europe,2021-05-12
163,Chad,4888,0,172,0,4661,0,55,0,290,10,115822,6883,16827427,Africa,2021-05-12
164,Saint Lucia,4700,0,75,0,4473,0,152,1,25495,407,42151,228649,184348,North America,2021-05-12
165,Gibraltar,4286,0,94,0,4189,0,3,0,127249,2791,240870,7151297,33682,Europe,2021-05-12
166,Burundi,4208,0,6,0,773,0,3429,0,345,5,279132,22894,12192376,Africa,2021-05-12
167,Sierra Leone,4089,0,79,0,3093,0,917,0,504,10,153257,18884,8115616,Africa,2021-05-12
168,Channel Islands,4057,0,86,0,3956,0,15,0,23151,491,454413,2593119,175238,Europe,2021-05-12
169,Barbados,3950,0,45,0,3870,0,35,0,13731,156,159886,555781,287678,North America,2021-05-12
170,Comoros,3860,0,146,0,3688,0,26,0,4359,165,0,0,885426,Africa,2021-05-12
171,Eritrea,3818,0,12,0,3627,0,179,0,1064,3,23693,6603,3588465,Africa,2021-05-12
172,Guinea-Bissau,3741,0,67,0,3400,0,274,9,1863,33,64758,32255,2007704,Africa,2021-05-12
173,Timor-Leste,3626,133,5,0,1894,125,1727,0,2706,4,84361,62960,1339916,Asia,2021-05-12
174,Vietnam,3623,86,35,0,2636,18,952,0,37,4,2958119,30157,98090024,Asia,2021-05-12
175,Liechtenstein,2978,3,58,0,2887,0,33,3,77913,1517,39109,1023207,38222,Europe,2021-05-12
176,New Zealand,2643,0,26,0,2591,0,26,0,528,5,2059727,411772,5002100,Australia/Oceania,2021-05-12
177,Monaco,2486,0,32,0,2423,0,31,1,62967,811,51953,1315899,39481,Europe,2021-05-12
178,Bermuda,2455,0,31,0,2182,0,242,14,39546,499,250225,4030686,62080,North America,2021-05-12
179,Turks and Caicos,2404,0,17,0,2365,0,22,2,61380,434,65926,1683246,39166,North America,2021-05-12
180,Sao Tome and Principe,2320,0,35,0,2269,0,16,0,10420,157,12999,58386,222639,Africa,2021-05-12
181,Sint Maarten,2268,0,27,0,2208,0,33,2,52387,624,26880,620886,43293,North America,2021-05-12
182,Liberia,2114,0,85,0,1962,0,67,2,410,16,97875,18971,5159153,Africa,2021-05-12
183,St. Vincent Grenadines,1926,4,12,0,1748,7,166,2,17313,108,46562,418561,111243,North America,2021-05-12
184,Saint Martin,1773,0,12,0,1399,0,362,7,45195,306,27588,703237,39230,North America,2021-05-12
185,Isle of Man,1590,0,29,0,1552,2,9,1,18614,339,44761,524011,85420,Europe,2021-05-12
186,Caribbean Netherlands,1583,0,17,0,1548,0,18,0,59890,643,10040,379843,26432,North America,2021-05-12
187,Laos,1417,55,1,0,328,31,1088,0,192,1,208030,28242,7365974,Asia,2021-05-12
188,Mauritius,1266,10,17,0,1128,3,121,0,994,13,358675,281627,1273583,Africa,2021-05-12
189,Bhutan,1257,10,1,0,1121,20,135,0,1614,1,734065,942447,778893,Asia,2021-05-12
190,Antigua and Barbuda,1240,2,32,0,1179,1,29,4,12573,324,16700,169328,98625,North America,2021-05-12
191,Taiwan,1231,21,12,0,1097,4,122,0,52,5,571259,23948,23853843,Asia,2021-05-12
192,St. Barth,974,0,1,0,462,0,511,0,98354,101,26385,2664344,9903,North America,2021-05-12
193,Faeroe Islands,669,0,1,0,663,1,5,0,13647,20,258096,5264794,49023,Europe,2021-05-12
194,Cayman Islands,548,0,2,0,537,0,9,0,8255,30,91940,1384972,66384,North America,2021-05-12
195,Tanzania,509,0,21,0,183,0,305,7,8,3,0,0,61183891,Africa,2021-05-12
196,Wallis and Futuna,445,0,7,0,44,0,394,1,40202,632,17264,1559671,11069,Australia/Oceania,2021-05-12
197,Brunei ,230,0,3,0,218,0,9,0,521,7,122292,277261,441072,Asia,2021-05-12
198,British Virgin Islands,219,0,1,0,193,0,25,0,7203,33,39777,1308282,30404,North America,2021-05-12
199,Fiji,161,9,3,0,106,5,52,0,178,3,70792,78481,902022,Australia/Oceania,2021-05-12
200,New Caledonia,124,0,0,0,58,0,66,0,431,0,31166,108271,287852,Australia/Oceania,2021-05-12
201,Anguilla,109,0,0,0,89,0,20,0,7210,0,21630,1430745,15118,North America,2021-05-12
202,Saint Kitts and Nevis,45,0,0,0,44,0,1,0,841,0,13691,255801,53522,North America,2021-05-12
203,Vatican City,27,0,0,0,15,0,12,0,33624,0,0,0,803,Europe,2021-05-12
204,Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,609870,Africa,2021-05-12
205,Samoa,3,0,0,0,2,0,1,0,15,0,0,0,199546,Australia/Oceania,2021-05-12
206,China,90799,16,4636,0,85861,16,302,0,63,3,160000000,111163,1439323776,Asia,2021-05-12
207,Tajikistan,13308,0,90,0,13218,0,0,0,1369,9,0,0,9720578,Asia,2021-05-12
208,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,Ship,2021-05-12
209,Grenada,161,1,1,0,160,2,0,0,1425,9,28684,253906,112971,North America,2021-05-12
210,Montserrat,20,0,1,0,19,0,0,0,4004,200,1313,262863,4995,North America,2021-05-12
211,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,Ship,2021-05-12
212,Vanuatu,4,0,1,0,3,0,0,0,13,3,23000,73419,313272,Australia/Oceania,2021-05-12
213,Dominica,175,0,0,0,175,0,0,0,2426,0,15546,215498,72140,North America,2021-05-12
214,Falkland Islands,63,0,0,0,63,0,0,0,17667,0,7258,2035334,3566,South America,2021-05-12
215,Macao,49,0,0,0,49,0,0,0,75,0,4483,6824,656918,Asia,2021-05-12
216,Greenland,31,0,0,0,31,0,0,0,545,0,20669,363539,56855,North America,2021-05-12
217,Saint Pierre Miquelon,25,0,0,0,25,0,0,0,4333,0,5318,921664,5770,North America,2021-05-12
218,Solomon Islands,20,0,0,0,20,0,0,0,29,0,4500,6417,701257,Australia/Oceania,2021-05-12
219,Marshall Islands,4,0,0,0,4,0,0,0,67,0,0,0,59533,Australia/Oceania,2021-05-12
220,Saint Helena,2,0,0,0,2,0,0,0,328,0,0,0,6093,Africa,2021-05-12
221,Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,116057,Australia/Oceania,2021-05-12
0,USA,33590587,4451,597864,79,26621706,1477,6371017,8702,100971,1797,461566957,1387441,332674970,North America,2021-05-13
1,India,23943878,241046,261053,2702,19983310,254874,3699515,8944,17205,188,309448585,222356,1391679242,Asia,2021-05-13
2,Brazil,15361686,0,428256,0,13924217,0,1009213,8318,71830,2002,46970130,219630,213860730,South America,2021-05-13
3,France,5821668,0,107119,0,4960097,0,754452,4583,89019,1638,79684856,1218458,65398090,Europe,2021-05-13
4,Turkey,5072462,0,43821,0,4801291,0,227350,2827,59592,515,50058648,588097,85119750,Asia,2021-05-13
5,Russia,4913439,8380,114723,392,4527878,9349,270838,2300,33656,786,132400000,906921,145988463,Europe,2021-05-13
6,UK,4444631,2657,127651,11,4258298,2195,58682,136,65177,1872,169007195,2478354,68193314,Europe,2021-05-13
7,Italy,4139160,8085,123745,201,3669407,14295,346008,1893,68546,2049,62107222,1028520,60385062,Europe,2021-05-13
8,Spain,3592751,0,79208,0,3291156,0,222387,1991,76817,1694,47213067,1009465,46770406,Europe,2021-05-13
9,Germany,3569249,11101,86189,180,3240300,20000,242760,5049,42483,1026,58093759,691469,84014947,Europe,2021-05-13
10,Argentina,3215572,0,68807,0,2869341,0,277424,5394,70590,1510,12066534,264892,45552720,South America,2021-05-13
11,Colombia,3048719,0,79261,0,2859627,0,109831,6582,59372,1544,15639108,304562,51349445,South America,2021-05-13
12,Poland,2845762,3730,71021,342,2584751,2232,189990,1772,75263,1878,15017415,397172,37810825,Europe,2021-05-13
13,Iran,2722007,14246,76231,297,2179890,17803,465886,5481,32055,898,17616446,207455,84917119,Asia,2021-05-13
14,Mexico,2371483,3090,219590,267,1893236,2184,258657,4798,18228,1688,6791913,52206,130098135,North America,2021-05-13
15,Ukraine,2135886,6813,47333,346,1816643,19507,271910,177,49093,1088,9721036,223438,43506626,Europe,2021-05-13
16,Peru,1865639,0,64898,0,1720665,0,80076,2670,55913,1945,11832582,354624,33366534,South America,2021-05-13
17,Indonesia,1731652,3448,47716,99,1589079,4201,94857,0,6274,173,15410887,55834,276011839,Asia,2021-05-13
18,Czechia,1649947,1261,29825,13,1587457,83,32665,337,153825,2781,20767772,1936187,10726119,Europe,2021-05-13
19,South Africa,1602031,0,54968,0,1519734,0,27329,546,26722,917,10968926,182963,59951541,Africa,2021-05-13
20,Netherlands,1583767,6013,17413,14,1346626,6669,219728,716,92253,1014,13171698,767243,17167573,Europe,2021-05-13
21,Canada,1309329,3559,24802,36,1208535,4207,75992,1327,34432,652,33001128,867834,38027004,North America,2021-05-13
22,Chile,1260448,0,27384,0,1199432,0,33632,3036,65452,1422,13689304,710857,19257458,South America,2021-05-13
23,Iraq,1132092,4512,15883,28,1028627,5043,87582,471,27615,387,9817969,239488,40995731,Asia,2021-05-13
24,Philippines,1124724,6385,18821,107,1050643,4289,55260,750,10148,170,12467422,112487,110834638,Asia,2021-05-13
25,Romania,1069770,953,29308,75,1020194,1552,20268,829,55931,1532,8592149,449222,19126731,Europe,2021-05-13
26,Sweden,1027934,0,14267,0,871072,8837,142595,346,101239,1405,8798383,866536,10153515,Europe,2021-05-13
27,Belgium,1023583,3251,24630,21,897904,0,101049,657,87989,2117,13125499,1128289,11633100,Europe,2021-05-13
28,Pakistan,870703,3265,19336,126,776315,4623,75052,4567,3877,86,12349976,54994,224570836,Asia,2021-05-13
29,Portugal,840929,436,16999,1,801961,340,21969,70,82679,1671,11011029,1082588,10171028,Europe,2021-05-13
30,Israel,839042,12,6379,0,831855,29,808,70,91224,694,14466175,1572822,9197590,Asia,2021-05-13
31,Hungary,795200,1416,28970,82,600461,8021,165769,354,82497,3005,5588435,579763,9639165,Europe,2021-05-13
